dia,turno,accion,equipoId,cama
1,mañana,activar,BIC-002,4
1,mañana,activar,BIC-022,4
1,mañana,activar,BIC-042,4
1,mañana,activar,MON-12,6
1,mañana,activar,BIC-050,6
1,mañana,activar,BIC-069,6
1,mañana,desactivar,BIC-042,4
1,tarde,activar,MON-13,14
1,tarde,activar,BIC-034,14
1,tarde,activar,BIC-068,14
1,tarde,activar,VEN-01,14
1,noche,desactivar,MON-06,2
1,noche,desactivar,VEN-03,2
1,noche,desactivar,BIC-007,2
1,noche,desactivar,BIC-003,2
1,noche,desactivar,BIC-021,2
1,noche,desactivar,BIC-030,2
1,noche,activar,BIC-040,13
2,mañana,activar,MON-14,2
2,mañana,activar,BIC-057,2
2,mañana,activar,BIC-056,2
2,mañana,activar,VEN-15,2
2,mañana,activar,BIC-070,1
2,mañana,activar,BIC-017,10
2,tarde,activar,BIC-013,7
2,noche,desactivar,MON-03,10
2,noche,desactivar,BIC-055,10
2,noche,desactivar,BIC-059,10
2,noche,desactivar,BIC-017,10
2,noche,desactivar,BIC-047,11
2,noche,desactivar,BIC-034,14
3,mañana,activar,MON-06,10
3,mañana,activar,BIC-045,10
3,mañana,activar,BIC-030,10
3,mañana,desactivar,BIC-057,2
3,tarde,activar,MON-03,8
3,tarde,activar,BIC-042,8
3,tarde,activar,BIC-055,8
3,tarde,activar,BIC-031,8
3,tarde,activar,BIC-012,8
3,tarde,activar,VEN-07,8
3,tarde,activar,BIC-010,1
3,noche,desactivar,BIC-025,1
3,noche,activar,BIC-017,13
3,noche,activar,BIC-047,8
4,mañana,desactivar,MON-04,9
4,mañana,desactivar,BIC-048,9
4,mañana,desactivar,BIC-001,9
4,mañana,desactivar,BIC-015,9
4,mañana,desactivar,BIC-019,9
4,mañana,desactivar,BIC-037,9
4,mañana,desactivar,BIC-053,9
4,mañana,desactivar,BIC-014,9
4,mañana,activar,BIC-004,14
4,mañana,desactivar,BIC-030,10
4,tarde,activar,MON-04,9
4,tarde,activar,BIC-059,9
4,tarde,activar,BIC-041,9
4,tarde,activar,BIC-057,9
4,tarde,activar,BIC-065,9
4,tarde,activar,BIC-033,9
4,tarde,activar,BIC-021,9
4,tarde,activar,BIC-037,9
4,tarde,activar,VEN-10,9
4,tarde,desactivar,BIC-029,1
4,noche,desactivar,MON-06,10
4,noche,desactivar,BIC-045,10
4,noche,desactivar,BIC-006,11
4,noche,desactivar,BIC-068,14
5,tarde,desactivar,MON-01,7
5,tarde,desactivar,BIC-005,7
5,tarde,desactivar,BIC-028,7
5,tarde,desactivar,BIC-067,7
5,tarde,desactivar,BIC-023,7
5,tarde,desactivar,BIC-013,7
5,tarde,activar,BIC-019,2
5,noche,activar,MON-06,7
5,noche,activar,BIC-006,7
5,noche,activar,BIC-067,7
5,noche,activar,BIC-013,7
5,noche,activar,BIC-034,7
5,noche,activar,VEN-16,7
5,noche,activar,BIC-025,6
6,mañana,activar,MON-01,10
6,mañana,activar,BIC-015,10
6,mañana,activar,BIC-038,10
6,mañana,activar,BIC-048,10
6,mañana,activar,BIC-001,10
6,mañana,activar,VEN-06,10
6,mañana,activar,BIC-023,11
6,mañana,desactivar,BIC-020,12
6,mañana,desactivar,BIC-019,2
6,mañana,desactivar,BIC-021,9
6,tarde,desactivar,MON-09,12
6,tarde,desactivar,BIC-066,12
6,tarde,desactivar,BIC-054,12
6,tarde,desactivar,BIC-009,12
6,noche,activar,BIC-054,5
6,noche,desactivar,BIC-056,2
7,mañana,desactivar,MON-12,6
7,mañana,desactivar,BIC-050,6
7,mañana,desactivar,BIC-069,6
7,mañana,desactivar,BIC-025,6
7,mañana,desactivar,BIC-063,11
7,mañana,activar,BIC-005,8
7,mañana,desactivar,BIC-013,7
7,tarde,desactivar,MON-13,14
7,tarde,desactivar,VEN-01,14
7,tarde,desactivar,BIC-004,14
7,tarde,desactivar,BIC-027,1
7,tarde,activar,BIC-068,7
7,noche,desactivar,MON-04,9
7,noche,desactivar,VEN-10,9
7,noche,desactivar,BIC-059,9
7,noche,desactivar,BIC-041,9
7,noche,desactivar,BIC-057,9
7,noche,desactivar,BIC-065,9
7,noche,desactivar,BIC-033,9
7,noche,desactivar,BIC-037,9
8,mañana,activar,BIC-016,3
8,tarde,activar,MON-09,14
8,tarde,activar,BIC-007,14
8,tarde,activar,BIC-059,14
8,tarde,desactivar,BIC-006,7
8,tarde,desactivar,BIC-048,10
8,noche,activar,MON-12,9
8,noche,activar,BIC-003,9
8,noche,activar,BIC-036,9
8,noche,activar,BIC-069,9
8,noche,activar,BIC-029,9
8,noche,activar,BIC-050,9
8,noche,activar,BIC-014,9
8,noche,activar,BIC-013,9
8,noche,activar,VEN-01,9
8,noche,desactivar,BIC-061,3
8,noche,activar,BIC-028,9
9,mañana,activar,MON-13,6
9,mañana,activar,BIC-004,6
9,mañana,activar,BIC-027,6
9,mañana,activar,BIC-030,6
9,mañana,activar,BIC-045,6
9,mañana,desactivar,BIC-067,7
9,tarde,desactivar,BIC-032,5
9,tarde,desactivar,BIC-022,4
9,tarde,activar,BIC-033,14
9,tarde,desactivar,BIC-027,6
9,noche,desactivar,MON-09,14
9,noche,desactivar,BIC-007,14
9,noche,desactivar,BIC-059,14
9,noche,desactivar,BIC-033,14
9,noche,desactivar,BIC-008,3
9,noche,activar,BIC-019,2
10,mañana,activar,MON-04,14
10,mañana,activar,BIC-022,14
10,mañana,activar,BIC-056,14
10,mañana,activar,VEN-14,14
10,mañana,activar,BIC-032,5
10,mañana,activar,BIC-006,4
10,mañana,desactivar,BIC-036,9
10,tarde,desactivar,MON-03,8
10,tarde,desactivar,VEN-07,8
10,tarde,desactivar,BIC-042,8
10,tarde,desactivar,BIC-055,8
10,tarde,desactivar,BIC-031,8
10,tarde,desactivar,BIC-012,8
10,tarde,desactivar,BIC-047,8
10,tarde,desactivar,BIC-005,8
10,tarde,desactivar,BIC-038,10
10,noche,desactivar,BIC-070,1
11,mañana,activar,MON-09,12
11,mañana,activar,BIC-041,12
11,mañana,activar,BIC-065,12
11,mañana,activar,BIC-047,12
11,mañana,activar,BIC-031,12
11,tarde,desactivar,MON-13,6
11,tarde,desactivar,BIC-004,6
11,tarde,desactivar,BIC-030,6
11,tarde,desactivar,BIC-045,6
11,tarde,activar,BIC-057,7
11,noche,activar,MON-03,8
11,noche,activar,BIC-020,8
11,noche,activar,BIC-053,8
11,noche,activar,BIC-007,8
11,noche,activar,BIC-004,8
11,noche,desactivar,BIC-047,12
12,mañana,desactivar,MON-14,2
12,mañana,desactivar,VEN-15,2
12,mañana,desactivar,BIC-019,2
12,mañana,activar,BIC-063,5
12,tarde,desactivar,BIC-044,1
12,tarde,desactivar,BIC-031,12
12,noche,desactivar,MON-07,3
12,noche,desactivar,VEN-08,3
12,noche,desactivar,BIC-051,3
12,noche,desactivar,BIC-018,3
12,noche,desactivar,BIC-016,3
12,noche,activar,BIC-027,13
12,noche,desactivar,BIC-001,10
13,mañana,activar,MON-13,3
13,mañana,activar,BIC-026,3
13,mañana,activar,BIC-016,3
13,mañana,activar,BIC-070,3
13,mañana,activar,BIC-033,3
13,mañana,desactivar,BIC-023,11
13,mañana,desactivar,BIC-060,13
13,tarde,desactivar,MON-10,5
13,tarde,desactivar,BIC-043,5
13,tarde,desactivar,BIC-035,5
13,tarde,desactivar,BIC-039,5
13,tarde,desactivar,BIC-054,5
13,tarde,desactivar,BIC-032,5
13,tarde,desactivar,BIC-063,5
13,tarde,desactivar,BIC-053,8
13,noche,desactivar,BIC-002,4
13,noche,desactivar,BIC-028,9
14,mañana,activar,MON-14,2
14,mañana,activar,BIC-021,2
14,mañana,activar,BIC-030,2
14,mañana,activar,BIC-059,7
14,mañana,activar,BIC-032,8
14,tarde,activar,MON-07,5
14,tarde,activar,BIC-031,5
14,tarde,activar,BIC-063,5
14,tarde,activar,BIC-047,5
14,tarde,activar,BIC-042,5
14,tarde,activar,BIC-018,14
14,tarde,desactivar,BIC-021,2
14,tarde,desactivar,BIC-031,5
14,noche,desactivar,MON-09,12
14,noche,desactivar,BIC-041,12
14,noche,desactivar,BIC-065,12
14,noche,desactivar,BIC-040,13
14,noche,activar,BIC-019,2
14,noche,desactivar,BIC-047,5
